Species,Dataset,IUCN,Class,Mass,ScaledLogRaw,Res
Calypte costae,Willemen et al. (2015),LC,Aves,3.3,1.2230047742361658,0.7568185450607254
Calyptorhynchus banksii,Willemen et al. (2015),LC,Aves,738.6,1.306316869774891,0.8391763251403093
Calyptorhynchus baudinii,Willemen et al. (2015),EN,Aves,655,0.09568800381330494,-0.3148466429891774
Calyptorhynchus funereus,Willemen et al. (2015),LC,Aves,800,1.1705874072640616,0.7033671741088876
Calyptorhynchus lathami,Willemen et al. (2015),LC,Aves,405.4,0.49745710347751365,0.03074900534230052
Calyptorhynchus latirostris,Willemen et al. (2015),EN,Aves,612,0.5812297400328165,0.17075090115192162
Camaroptera chloronota,Willemen et al. (2015),LC,Aves,9.8,-1.0175844661150866,-1.4837791313716973
Camaroptera superciliaris,Willemen et al. (2015),LC,Aves,8.3,-0.8914435337473892,-1.357636252216037
Camelus ferus,Willemen et al. (2015),CR,Mammalia,690000,0.6674819687902422,0.3147741122177262
Campephaga flava,Willemen et al. (2015),LC,Aves,30.9,-0.1857478429031646,-0.6519698929771123
Campephaga phoenicea,Willemen et al. (2015),LC,Aves,27.2,-0.44788345683462255,-0.9141007048315967
Campephaga quiscalina,Willemen et al. (2015),LC,Aves,38.3,-1.0175844661150866,-1.4838161203429814
Campethera abingoni,Willemen et al. (2015),LC,Aves,70,0.3819555620753282,-0.08431723427150442
Campethera bennettii,Willemen et al. (2015),LC,Aves,67,0.2959644070891698,-0.17030449568173822
Campethera cailliautii,Willemen et al. (2015),LC,Aves,43,-0.6460669044140142,-1.1123046585775243
Campethera caroli,Willemen et al. (2015),LC,Aves,56.5,-0.7936010252631963,-1.2598563005183676
Campethera nivosa,Willemen et al. (2015),LC,Aves,34.5,-0.7136578749350705,-1.1798845973001275
Campethera nubica,Willemen et al. (2015),LC,Aves,60.1,0.3242628309726743,-0.14199711657360709
Campethera punctuligera,Willemen et al. (2015),LC,Aves,72.5,-0.20823858736671097,-0.6745146283601475
Campethera tullbergi,Willemen et al. (2015),LC,Aves,50.4,-0.44788345683462255,-0.9141308151520807
Campylopterus curvipennis,Willemen et al. (2015),LC,Aves,7.1,-0.3421403132339983,-0.8083314742722767
Campylopterus hemileucurus,Willemen et al. (2015),LC,Aves,8.9,1.0160375625693143,0.5498440653854809
Campylopterus largipennis,Willemen et al. (2015),LC,Aves,7.5,0.2247041818011115,-0.24148749838062358
Campylopterus rufus,Willemen et al. (2015),LC,Aves,6.4,-0.6460669044140142,-1.1122571569512432
Campylopterus villaviscensio,Willemen et al. (2015),NT,Aves,6.6,-0.31188877527086184,-0.6993407252615614
Canis adustus,Willemen et al. (2015),LC,Mammalia,10249.9,0.24157062219825937,0.5920113113578404
Canis aureus,Willemen et al. (2015),LC,Mammalia,10345.2,1.0031192453228592,1.3534362485538998
Canis latrans,Willemen et al. (2015),LC,Mammalia,13406.3,1.9815003834128,2.3278445115561524
Canis lupus,Willemen et al. (2015),LC,Mammalia,32183.3,2.667127409913044,2.9891016463437685
Canis mesomelas,Willemen et al. (2015),LC,Mammalia,8500,1.3565813437030203,1.7092931556994722
Canis rufus,Willemen et al. (2015),CR,Mammalia,22983.2,0.6611728903609421,1.1741585517361053
Canis simensis,Willemen et al. (2015),EN,Mammalia,10000,0.2810994789390194,0.6883618998227917
Cannomys badius,Willemen et al. (2015),LC,Mammalia,275,-1.195370124927405,-0.8319834256040975
